Word,Valence,Arousal,Dominance,Concreteness
fawn,0.574072,0.450855,0.532387,0.716189
nunnery,0.496841,0.484427,0.524126,0.712315
deferment,0.455286,0.417398,0.517618,0.466063
chthonic,0.608167,0.468614,0.548038,0.455128
fleeces,0.595612,0.374254,0.600933,0.760800
woods,0.591969,0.440223,0.579904,0.829381
clotted,0.395116,0.414387,0.498322,0.572229
pantheistic,0.668650,0.414075,0.585477,0.289953
hanging,0.507914,0.496767,0.586037,0.705601
woody,0.570290,0.398895,0.583900,0.690577
trawling,0.443157,0.455248,0.540859,0.644556
underachieve,0.335815,0.534478,0.451446,0.428392
comically,0.400464,0.471197,0.466959,0.394557
localized,0.603966,0.391120,0.608989,0.465536
spidery,0.493561,0.500144,0.500388,0.691884
regularize,0.604625,0.373603,0.613752,0.408491
disobeying,0.388162,0.525283,0.479926,0.622248
caner,0.332125,0.549736,0.410710,0.715933
canes,0.604290,0.356620,0.592013,0.862206
versicolor,0.560490,0.384899,0.551872,0.785847
heydays,0.625633,0.494501,0.602011,0.490847
fifer,0.615855,0.443542,0.592779,0.723407
scold,0.467183,0.429490,0.573055,0.530781
trifold,0.725301,0.337676,0.713469,0.848227
originality,0.733350,0.519293,0.680119,0.375414
localizer,0.581579,0.388164,0.552925,0.664974
mutinies,0.326621,0.518156,0.411885,0.443449
valueadded,0.682752,0.420133,0.663212,0.475139
crossbar,0.558760,0.435561,0.573842,0.748582
nooky,0.622729,0.590253,0.594987,0.663466
steerage,0.475190,0.395110,0.539246,0.579039
gestate,0.560755,0.492293,0.547763,0.562251
bocks,0.565562,0.403460,0.592256,0.730459
touristed,0.723728,0.497764,0.644173,0.601721
slothful,0.419486,0.394618,0.534811,0.359709
naturopathic,0.624046,0.380683,0.560580,0.607654
glares,0.342187,0.561918,0.477290,0.659179
citrus,0.622812,0.468882,0.592472,0.844451
belligerency,0.361280,0.539680,0.434968,0.383036
grenadiers,0.440230,0.477519,0.489832,0.770293
lings,0.547215,0.471789,0.527399,0.839979
stipulate,0.535875,0.429390,0.588766,0.489599
pigment,0.555468,0.432455,0.573280,0.807437
fattiness,0.535569,0.508634,0.583020,0.605825
appropriation,0.573173,0.486281,0.573956,0.514751
bogyman,0.304123,0.510444,0.390221,0.598823
rawhide,0.577091,0.368671,0.583265,0.849787
theocrats,0.402082,0.472728,0.464647,0.518423
tunefulness,0.678087,0.500623,0.631731,0.390281
gwyn,0.490253,0.392320,0.524826,0.745331
politician,0.537714,0.456773,0.556279,0.756164
screaming,0.445429,0.619893,0.486309,0.716379
seamier,0.403433,0.490638,0.499111,0.555583
prizing,0.571515,0.463038,0.602301,0.711737
advices,0.666662,0.456609,0.624983,0.611989
wooded,0.703634,0.386740,0.664300,0.795620
liaisons,0.518825,0.466698,0.561660,0.470608
grueling,0.460699,0.552698,0.525396,0.576369
broiler,0.555937,0.371188,0.597092,0.952324
fous,0.539362,0.444690,0.559125,0.532041
wooden,0.580186,0.363212,0.609215,0.865839
wholemeal,0.677945,0.294064,0.646756,0.768538
wednesday,0.523460,0.421034,0.550630,0.671391
sabotaged,0.362106,0.545571,0.484388,0.474291
ambushing,0.419003,0.597920,0.524862,0.586609
broiled,0.604919,0.403065,0.584766,0.797504
animosities,0.437573,0.489208,0.522124,0.349284
circuitry,0.597263,0.452399,0.564974,0.752052
crotch,0.600847,0.522069,0.620255,0.824909
deferments,0.426888,0.524126,0.489404,0.503019
steadfastness,0.648820,0.458412,0.694651,0.508742
festered,0.323145,0.398576,0.478495,0.609978
breezing,0.579755,0.466741,0.646132,0.622027
sooty,0.367651,0.411816,0.481553,0.799783
gaskets,0.396487,0.394907,0.502005,0.768219
punchable,0.504607,0.593333,0.547552,0.575856
preface,0.582567,0.417876,0.631318,0.594339
splendiferous,0.701550,0.514407,0.662626,0.534049
scraper,0.497743,0.381940,0.609604,0.886419
desiccant,0.499326,0.341134,0.562996,0.733768
feasibility,0.640066,0.427071,0.624917,0.471225
miniatures,0.752318,0.413094,0.663503,0.711047
deadheads,0.630187,0.480078,0.579437,0.727399
sooth,0.609177,0.402334,0.629875,0.540747
imploding,0.390047,0.540718,0.420969,0.634337
sustaining,0.632704,0.476156,0.649201,0.570898
consenting,0.532087,0.489335,0.529378,0.498961
washerman,0.503206,0.387402,0.550844,0.697459
periodontitis,0.274536,0.461736,0.423620,0.571998
scraped,0.473431,0.395483,0.566786,0.757914
snuggled,0.719544,0.419603,0.647884,0.702301
inanimate,0.573543,0.479182,0.542899,0.469723
dormancy,0.525435,0.431357,0.513205,0.478863
rosa,0.674097,0.364885,0.609922,0.728712
tensely,0.513734,0.422669,0.528141,0.509047
dialogs,0.615758,0.378413,0.650718,0.546923
semicircular,0.637225,0.385528,0.587611,0.820322
rainproof,0.670491,0.355233,0.630689,0.810745
deferred,0.536420,0.382612,0.556651,0.514521
hector,0.406097,0.417325,0.526712,0.479933
centimeter,0.594079,0.444603,0.581915,0.821782
blowtorches,0.541645,0.518627,0.584894,0.800252
cooking,0.693179,0.441818,0.723079,0.817445
slabbed,0.568853,0.357477,0.587238,0.727424
opportunists,0.403775,0.498308,0.434650,0.431127
subtasks,0.610718,0.377491,0.648191,0.715885
warmongering,0.336105,0.560444,0.443429,0.524363
Hamilton,0.624305,0.434330,0.568524,0.704085
overages,0.433432,0.474261,0.481477,0.574699
tilter,0.567849,0.384909,0.586772,0.862946
outfielders,0.630105,0.364332,0.595235,0.692281
numeral,0.568485,0.377846,0.562131,0.710037
databank,0.584939,0.392383,0.610903,0.794527
hallucinating,0.357734,0.554129,0.410240,0.637637
succumb,0.455582,0.472038,0.533948,0.487292
shocks,0.402841,0.577293,0.411550,0.663952
evolutionism,0.437438,0.447058,0.486118,0.503574
widget,0.636353,0.397103,0.633743,0.842771
presentence,0.417588,0.483961,0.506754,0.564858
crouch,0.511987,0.437750,0.555634,0.720061
chins,0.600465,0.417487,0.625948,0.734167
cuckolding,0.403602,0.582806,0.472076,0.671748
jubilantly,0.712623,0.492112,0.636465,0.545136
wheatgrass,0.645410,0.393670,0.616444,0.909744
mailings,0.437919,0.464849,0.524853,0.664039
perforations,0.512799,0.385695,0.543080,0.717609
brainwashed,0.397918,0.530608,0.436031,0.469894
affiliates,0.529568,0.440115,0.576849,0.569677
dearest,0.680394,0.446600,0.643724,0.629178
chine,0.568199,0.373536,0.595284,0.843671
perfunctorily,0.477340,0.359823,0.522106,0.349369
china,0.705659,0.354406,0.654600,0.933918
endoscopic,0.427319,0.453793,0.501665,0.620441
affiliated,0.551981,0.411671,0.600440,0.525664
brainwashes,0.390270,0.623706,0.469682,0.402590
confronts,0.447280,0.542486,0.548509,0.576570
chink,0.500369,0.458813,0.544075,0.663652
natured,0.668229,0.442317,0.660692,0.483279
existentialist,0.531178,0.447752,0.553522,0.467784
kids,0.776608,0.473319,0.660655,0.699791
Netherlander,0.596634,0.425566,0.638283,0.736235
uplifting,0.755236,0.505342,0.688042,0.370987
sillier,0.549162,0.495276,0.549761,0.516743
naturel,0.579568,0.357366,0.587637,0.549062
outdrink,0.530756,0.609922,0.544153,0.600427
deferring,0.536518,0.368155,0.568967,0.426084
lugging,0.513988,0.415723,0.613584,0.701944
controversy,0.447614,0.563379,0.478465,0.483008
kidd,0.453674,0.500122,0.465081,0.783048
targeting,0.474778,0.535525,0.579297,0.488122
natures,0.717500,0.458313,0.653267,0.311265
neurologist,0.533426,0.443067,0.534382,0.811583
spotty,0.425888,0.437784,0.492715,0.562382
climber,0.592664,0.527696,0.572411,0.905842
senna,0.492650,0.375556,0.503015,0.695967
faible,0.509367,0.412781,0.569994,0.497062
golden,0.778901,0.442280,0.657320,0.549841
Dexter,0.490252,0.475460,0.506484,0.686714
topography,0.598632,0.400732,0.551055,0.597959
projection,0.637852,0.460940,0.630306,0.635203
outraging,0.390535,0.515658,0.465676,0.543824
fretwork,0.638175,0.455884,0.620119,0.802448
lengthen,0.527347,0.404100,0.550105,0.534557
orangish,0.630665,0.395986,0.605250,0.795628
mightier,0.498128,0.546363,0.559906,0.395336
unsinkable,0.614902,0.531189,0.571089,0.525844
stern,0.482134,0.458927,0.582932,0.571317
overstocks,0.427900,0.453334,0.493565,0.644020
sternest,0.509464,0.505612,0.594473,0.536795
dna,0.518365,0.462037,0.573465,0.753795
joyousness,0.740656,0.546340,0.637803,0.445681
catchy,0.634286,0.545939,0.630359,0.490739
insecurity,0.306027,0.591430,0.409712,0.388600
abbreviations,0.469539,0.395116,0.525984,0.607444
henry,0.558675,0.441523,0.561127,0.597334
vicegerent,0.662643,0.452314,0.635591,0.377137
coursebook,0.727972,0.334267,0.735951,0.478836
cannibal,0.407485,0.626295,0.480207,0.740716
prospector,0.576854,0.501324,0.541118,0.876603
definiteness,0.620897,0.417081,0.634725,0.394438
brindled,0.579139,0.449750,0.533296,0.834770
music,0.763402,0.509378,0.668333,0.744123
therefore,0.615395,0.411231,0.613698,0.271761
botulin,0.383740,0.520551,0.484515,0.643347
distortions,0.358086,0.476348,0.426260,0.439887
reasserting,0.506152,0.534252,0.553042,0.512507
caned,0.426406,0.504426,0.510720,0.705407
voyageur,0.682615,0.440161,0.618228,0.848633
theorbo,0.583700,0.405210,0.583464,0.634599
sermons,0.536058,0.431945,0.564392,0.745298
pinpoints,0.538965,0.447031,0.601673,0.615492
spaying,0.539936,0.475203,0.557026,0.615687
heatless,0.489384,0.475507,0.545366,0.438920
skewness,0.475262,0.408752,0.525320,0.456507
borstal,0.354264,0.444839,0.452920,0.661810
ovulated,0.510733,0.455631,0.526466,0.685289
populations,0.513657,0.412397,0.508768,0.584115
circumstanced,0.517366,0.463130,0.524270,0.406396
mesmerize,0.645138,0.633284,0.607773,0.501911
alphabetic,0.563651,0.365088,0.583704,0.543360
yahoo,0.475519,0.429649,0.537521,0.696584
faceted,0.699799,0.438757,0.645952,0.643873
meteorologist,0.550384,0.429401,0.555987,0.713744
crucifixes,0.481054,0.496922,0.542371,0.840738
expeditionary,0.664752,0.508076,0.626407,0.643136
alcoholically,0.580777,0.519061,0.534593,0.440243
teacups,0.719898,0.397411,0.633217,0.693281
stumps,0.501404,0.421658,0.536519,0.796485
categoric,0.613107,0.470623,0.641709,0.478592
serially,0.344530,0.386495,0.489182,0.347106
primeval,0.614645,0.522017,0.555450,0.527729
schoolboys,0.557962,0.442621,0.514196,0.746952
unpack,0.675938,0.408396,0.683734,0.589422
circumstances,0.525795,0.447070,0.523722,0.455869
intake,0.529401,0.446908,0.602539,0.706652
morally,0.457265,0.458891,0.541833,0.276800
locked,0.392818,0.499110,0.525960,0.692715
toxins,0.303723,0.517641,0.403149,0.752382
jumbling,0.411810,0.477416,0.517648,0.462308
payslip,0.579570,0.442688,0.608901,0.755974
wineskin,0.670968,0.431378,0.653873,0.711653
leadings,0.564799,0.414663,0.597600,0.223182
locker,0.530640,0.344690,0.646689,0.828614
locket,0.690547,0.480482,0.587816,1.034070
Colombia,0.512958,0.505800,0.526217,0.700670
anode,0.506556,0.369020,0.562495,0.805891
cytochrome,0.477906,0.425604,0.505256,0.565514
sunward,0.505856,0.418215,0.506147,0.826435
expressively,0.663617,0.451820,0.651845,0.477491
unreconstructed,0.371256,0.445284,0.496507,0.472551
deputy,0.551041,0.483828,0.606398,0.772373
wang,0.533586,0.458275,0.548558,0.738549
wand,0.712134,0.428742,0.636968,0.897960
wane,0.549943,0.427179,0.545281,0.618385
unjust,0.278715,0.573495,0.409661,0.309361
fluorite,0.605873,0.419852,0.590914,0.682049
papillote,0.630427,0.386206,0.625350,0.862128
ungraceful,0.470676,0.410084,0.530206,0.438807
disparagement,0.381496,0.519292,0.514868,0.454299
scratchproof,0.570570,0.382949,0.615516,0.774076
pooper,0.529209,0.455422,0.526669,0.921061
duplications,0.461165,0.417193,0.514953,0.469927
juntas,0.416650,0.473896,0.494140,0.503620
mieux,0.521433,0.417541,0.563937,0.440879
dishearteningly,0.433564,0.469420,0.515088,0.442661
Tippecanoe,0.493100,0.438683,0.562720,0.609442
cookers,0.536454,0.420632,0.615855,0.795731
rayon,0.488309,0.393646,0.526332,0.773258
pinto,0.649521,0.415539,0.612102,0.930651
jure,0.437632,0.453202,0.499093,0.396589
cocksucker,0.359809,0.522937,0.475352,0.714680
absolute,0.668094,0.460825,0.658300,0.385611
sugarless,0.608697,0.464551,0.594254,0.725026
wracked,0.490862,0.447198,0.502795,0.703492
wildernesses,0.645719,0.485532,0.551290,0.610430
travel,0.692612,0.479234,0.682065,0.670749
fogeys,0.630289,0.382793,0.615636,0.471437
subtleness,0.703131,0.491284,0.665190,0.448855
copious,0.584003,0.437500,0.601459,0.502127
cutback,0.503916,0.455664,0.545087,0.628059
hereupon,0.576752,0.404079,0.604176,0.479991
hough,0.562388,0.387495,0.572930,0.535521
playback,0.717304,0.432648,0.662641,0.739559
dared,0.513531,0.504180,0.557262,0.495266
speciousness,0.410549,0.462963,0.463203,0.431130
canaries,0.538318,0.460926,0.503240,0.698500
shirker,0.485734,0.390360,0.587513,0.489827
cadence,0.633011,0.406119,0.609768,0.536802
detoxified,0.441210,0.402854,0.537499,0.519751
twines,0.595701,0.428273,0.570056,0.762805
oceans,0.705702,0.425246,0.569873,0.710278
uselessness,0.358586,0.491705,0.487440,0.332371
marbleized,0.651159,0.403607,0.625678,0.695592
goober,0.598258,0.479468,0.568559,0.687346
wholewheat,0.654291,0.335432,0.661264,0.762980
assimilated,0.598041,0.374343,0.594007,0.375345
ptarmigan,0.665090,0.392080,0.557032,0.797496
garnishments,0.505735,0.452531,0.538246,0.625176
hourglass,0.564250,0.426670,0.547211,0.801504
outfight,0.482002,0.627345,0.554032,0.506018
lorryloads,0.478968,0.403058,0.536142,0.744176
encrypts,0.597465,0.391842,0.616319,0.609428
dinosaurs,0.596899,0.525544,0.497148,0.712572
wrong,0.395310,0.517096,0.495150,0.397512
wristlet,0.767921,0.353095,0.692708,0.977757
stollen,0.700287,0.419829,0.621049,0.873193
twined,0.610233,0.415562,0.605308,0.707828
sentencing,0.417525,0.541983,0.475584,0.627674
virago,0.378088,0.582436,0.438522,0.529694
eugenics,0.410571,0.502815,0.472675,0.482723
crooking,0.560190,0.441200,0.553433,0.816007
domed,0.661673,0.363865,0.612749,0.804751
assimilates,0.562299,0.369560,0.583301,0.496367
colorfully,0.641243,0.489762,0.606386,0.517347
comatose,0.362525,0.494780,0.400194,0.587100
recombination,0.585125,0.490020,0.570733,0.475349
romped,0.626989,0.481879,0.655471,0.572361
subplots,0.535751,0.453145,0.532143,0.502317
sickening,0.283801,0.631828,0.372956,0.479403
kiloton,0.531673,0.535698,0.537546,0.660973
horribly,0.378745,0.476198,0.431901,0.364873
ho,0.505327,0.455151,0.541052,0.648048
concoction,0.613580,0.471980,0.559412,0.806019
farmlands,0.594570,0.384408,0.598599,0.665375
nonsensical,0.445035,0.482650,0.474508,0.363487
romper,0.631644,0.472768,0.564752,0.824081
dong,0.513582,0.491198,0.519738,0.781157
leisurely,0.752289,0.353524,0.692441,0.446759
smashers,0.565293,0.486922,0.599332,0.780958
hophead,0.504310,0.538296,0.538797,0.639512
stinkier,0.483899,0.444476,0.539345,0.708067
snugly,0.605371,0.344267,0.599693,0.723054
overcompensating,0.423929,0.478820,0.486077,0.466419
librettist,0.594363,0.435147,0.635714,0.566588
welcomed,0.719364,0.480603,0.669840,0.491388
concurrence,0.527799,0.415079,0.588690,0.435413
puling,0.290179,0.536226,0.440618,0.667529
patricide,0.429511,0.584098,0.469018,0.483971
stoicism,0.580943,0.410481,0.606476,0.422072
whizzing,0.564407,0.539709,0.579524,0.731394
partnered,0.686655,0.408248,0.714553,0.514894
sidekicks,0.551403,0.506758,0.600650,0.603403
butcher,0.503745,0.431528,0.588885,0.969283
concurrency,0.586119,0.482598,0.623404,0.484396
bishopry,0.581956,0.425428,0.566377,0.598744
disquisition,0.475445,0.444272,0.527928,0.580607
rewarded,0.725397,0.482048,0.704681,0.437805
sentry,0.457242,0.443767,0.509100,0.806087
activating,0.603931,0.509082,0.631250,0.537404
abysses,0.468628,0.450698,0.447018,0.541815
welcomes,0.760468,0.462977,0.719755,0.538885
fir,0.639100,0.341026,0.605017,0.848457
sonority,0.703273,0.417114,0.649806,0.497787
wickedly,0.605460,0.534544,0.588320,0.411447
ligand,0.546543,0.415614,0.534804,0.672391
majestically,0.654819,0.464844,0.581698,0.549326
retrieved,0.567177,0.383451,0.620453,0.634259
lifeline,0.601664,0.461108,0.568553,0.625155
raggedness,0.461927,0.421546,0.546777,0.414039
gridiron,0.607626,0.483499,0.588322,0.685185
secede,0.527766,0.480953,0.518627,0.733120
fib,0.459400,0.500371,0.480558,0.525065
rescued,0.576091,0.518873,0.536867,0.629831
anticipations,0.615601,0.502574,0.590523,0.365965
retracts,0.521934,0.410385,0.582947,0.705554
fig,0.739042,0.429352,0.652993,0.717360
fid,0.603298,0.331755,0.610462,0.648315
omitted,0.452003,0.343807,0.533955,0.391930
reentered,0.520640,0.382724,0.603210,0.306841
pisses,0.376189,0.582757,0.478888,0.524706
influentially,0.648981,0.451365,0.647756,0.286807
fin,0.620063,0.411540,0.577317,0.903633
bankrupts,0.328870,0.546821,0.402896,0.544338
dorsum,0.409138,0.385273,0.460886,0.785154
bristle,0.386086,0.517972,0.480813,0.576363
sinuously,0.603412,0.473222,0.560002,0.695407
paterfamilias,0.488151,0.376523,0.562767,0.565259
songwriter,0.679454,0.459553,0.643318,0.692408
crypt,0.495932,0.436094,0.512211,0.862319
riggers,0.497026,0.486623,0.511064,0.676101
vouchers,0.660669,0.463394,0.650303,0.548905
hypoxic,0.403101,0.502345,0.434187,0.654860
superglue,0.522846,0.426198,0.570925,0.804607
memorialize,0.641752,0.454399,0.611414,0.522621
preemie,0.566179,0.472191,0.508659,0.846441
effects,0.512955,0.462597,0.494114,0.594143
rudders,0.519257,0.430665,0.557004,0.677281
multidimensional,0.668663,0.524083,0.664883,0.418035
sixteen,0.584009,0.425267,0.590475,0.551431
undeveloped,0.593846,0.432898,0.580734,0.612190
driblets,0.597525,0.390217,0.584880,0.482537
saddened,0.542329,0.519460,0.546615,0.460929
stallholder,0.631977,0.435746,0.636192,0.889413
cooch,0.502155,0.553863,0.504768,0.860296
probiotic,0.547768,0.424659,0.563029,0.747666
defecate,0.361545,0.476230,0.494764,0.715366
whacking,0.459521,0.537278,0.580965,0.733911
phenotype,0.480751,0.390560,0.496635,0.537328
barton,0.516809,0.439822,0.523998,0.660309
disconnection,0.316897,0.497335,0.453933,0.287540
libations,0.796188,0.473000,0.690327,0.772153
protractors,0.660863,0.360329,0.638389,0.756606
arrow,0.503260,0.439599,0.590706,0.967261
imaginativeness,0.748631,0.451712,0.688107,0.372043
uninfluenced,0.586090,0.398061,0.603926,0.347550
riddling,0.391148,0.478920,0.559740,0.429115
coulters,0.465624,0.334076,0.541775,0.769528
burial,0.515210,0.423549,0.520808,0.700708
diatoms,0.643801,0.373522,0.580860,0.750220
telescope,0.708902,0.435826,0.637978,0.900803
canoeist,0.549318,0.467722,0.540781,0.921228
sandbars,0.645829,0.424075,0.563630,0.857133
unploughed,0.443507,0.351211,0.516954,0.549674
allah,0.560614,0.484922,0.571379,0.629309
allan,0.508947,0.446423,0.516022,0.632923
parasites,0.315428,0.479420,0.386192,0.708347
double_dutch,0.617589,0.525880,0.611409,0.804372
currencies,0.589670,0.433012,0.558026,0.558073
untwisting,0.513146,0.380555,0.539052,0.789921
Jamestown,0.563709,0.428333,0.572387,0.732502
allay,0.553631,0.374221,0.598161,0.471459
