"term","humor"
"abbey","53.09371"
"abode","55.898367"
"abscess","36.907895"
"absence","37.978947"
"abstract","55.851393"
"abyss","47.039474"
"accent","54.489164"
"access","45.634675"
"acclaim","38.596491"
"account","47.534626"
"ace","60.210526"
"ache","45.706371"
"acid","44.661654"
"acne","55.578947"
"act","53.786078"
"active","48.031189"
"actor","56.384439"
"ad","44.463158"
"adage","52.491228"
"adder","49.210526"
"addict","39.504644"
"address","37.052632"
"adept","48.888889"
"ado","63.432494"
"adult","60.941828"
"advance","41.973684"
"advice","60.210526"
"aerial","57.894737"
"affair","49.824561"
"affront","45.54386"
"aid","47.567568"
"aide","51.905626"
"ailment","39.612188"
"air","48.359133"
"airfield","53.552632"
"airline","48.711434"
"airplane","47.639098"
"airport","51.719298"
"airship","58.947368"
"airspeed","57.894737"
"airstrip","54.238227"
"airway","51.140351"
"aisle","56.608187"
"alarm","42.323049"
"album","52.270677"
"alcove","46.941679"
"alert","53.826458"
"alias","46.977444"
"alien","57.171053"
"alley","49.746589"
"allure","59.548872"
"ally","46.315789"
"almond","55.964912"
"alpha","54.533107"
"altar","48.832952"
"amber","49.122807"
"ambience","60.210526"
"ambush","47.678019"
"amends","44"
"amp","54.035088"
"anchor","53.363844"
"ancient","50.050934"
"angel","48.300752"
"anger","34.736842"
"angle","49.62406"
"angst","48.052632"
"ankle","45.350877"
"anklet","62.857143"
"annals","64.024768"
"annual","49.746589"
"answer","50.368421"
"ant","52.684211"
"anthem","50.947368"
"anthill","55.321637"
"anthrax","40.866873"
"antics","80.225564"
"antique","47.859649"
"antiques","54.892788"
"anus","81.383459"
"anvil","58.785425"
"apache","58.504155"
"ape","62.857143"
"apex","60.689655"
"appeal","51.948791"
"applause","57.894737"
"apple","54.035088"
"approach","46.996904"
"apron","52.270677"
"arcade","64.180451"
"arch","46.925208"
"archduke","65.519897"
"arctic","44.210526"
"ark","61.754386"
"arm","44.110276"
"armchair","51.929825"
"army","45.614035"
"array","53.628809"
"arrest","40"
"arrow","49.094737"
"arsenic","35.918367"
"arson","41.105263"
"art","53.039049"
"artist","57.581792"
"ashtray","48.470012"
"aspect","54.035088"
"asphalt","50.402477"
"aspirin","50.175439"
"ass","90.701754"
"assault","39.239766"
"asset","51.873684"
"asthma","35.857385"
"athlete","44.210526"
"atlas","54.035088"
"atoll","53.759398"
"atom","44.992481"
"attack","38.596491"
"attempt","52.105263"
"attic","52.105263"
"auction","52.550607"
"audience","52.270677"
"audit","44.272446"
"aunt","53.039049"
"auntie","66.749226"
"aura","57.465887"
"author","38.596491"
"auto","41.973684"
"award","55.438596"
"awe","54.035088"
"awning","49.445235"
"axle","55.578947"
"babble","73.208829"
"babe","69.473684"
"baboon","85.853659"
"baby","59.181287"
"back","46.315789"
"backbone","62.003396"
"backdoor","71.301939"
"backdrop","50.175439"
"backer","49.509982"
"background","43.591331"
"backhand","58.323587"
"backroom","52.319688"
"backseat","52.631579"
"backside","66.749226"
"backup","53.502722"
"backyard","41.25"
"bad","41.022556"
"badge","52.828947"
"badness","46.315789"
"bag","61.052632"
"baggage","50.947368"
"bail","52.105263"
"bailiff","54.331984"
"balance","47.809847"
"bale","52.748538"
"ball","61.947368"
"ballad","50.604288"
"ballast","56.066482"
"ballet","55.578947"
"balloon","63.684211"
"ballot","55.578947"
"ballpoint","55.578947"
"balm","57.894737"
"bamboo","61.754386"
"ban","50.285714"
"band","50.818713"
"bandage","48.421053"
"bandit","53.842105"
"bandstand","57.213622"
"bang","65.855263"
"banger","76.884211"
"banjo","65.062657"
"bank","51.107078"
"banker","46.959064"
"banking","44.578947"
"bankroll","55.170279"
"bankrupt","39.454191"
"banquet","54.035088"
"banshee","71.679198"
"banter","77.810526"
"bar","54.892788"
"bard","56.447368"
"bargain","49.532164"
"barge","60.619195"
"barium","49.824561"
"bark","61.981424"
"barley","45.634675"
"barman","61.754386"
"barnyard","57.54386"
"barrage","55.078236"
"barrel","54.394125"
"barrier","52.704174"
"barter","50.947368"
"base","42.807018"
"baseline","59.052632"
"basement","56.6759"
"bash","63.260591"
"basics","44"
"basis","45.592105"
"basket","59.181287"
"bastard","66.385965"
"bat","52.105263"
"batch","47.039474"
"bath","55.438596"
"bathe","51.719298"
"bathing","60.509338"
"bathrobe","54.736842"
"bathtub","57.894737"
"baton","59.548872"
"batter","67.692308"
"battle","40"
"bauble","64.649123"
"bay","51.719298"
"barmaid","67.692308"
"bearskin","60.87218"
"beeswax","78.257713"
"bayou","64.991511"
"bazaar","66.042885"
"beacon","55"
"bead","54.489164"
"beak","54.678363"
"beaker","60.87218"
"beam","55.438596"
"bear","51.719298"
"beard","54.489164"
"bearer","57.004049"
"bearings","48.556876"
"beast","64.210526"
"beat","50.581717"
"beatnik","79.122807"
"beauty","54.421053"
"beaver","70.967742"
"bebop","91.034483"
"bed","50.947368"
"bedding","49.336384"
